oracle_error_code,oracle_error_desc,date,hour,weekday
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,20,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,20,1
ORA-00942,table or view does not exist,2019-06-25,20,1
ORA-00942,table or view does not exist,2019-06-25,19,1
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-25,19,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,19,1
ORA-00942,table or view does not exist,2019-06-25,18,1
ORA-00942,table or view does not exist,2019-06-25,17,1
ORA-00942,table or view does not exist,2019-06-25,16,1
ORA-01775,looping chain of synonyms,2019-06-25,16,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,16,1
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-25,16,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,16,1
ORA-00942,table or view does not exist,2019-06-25,15,1
ORA-00942,table or view does not exist,2019-06-25,14,1
ORA-00942,table or view does not exist,2019-06-25,13,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,13,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,13,1
ORA-00942,table or view does not exist,2019-06-25,12,1
ORA-00001,unique constraint (DTV.PK_ELC_INV_ADJ_DATA) violated,2019-06-25,12,1
ORA-00942,table or view does not exist,2019-06-25,11,1
ORA-00942,table or view does not exist,2019-06-25,10,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,10,1
ORA-00942,table or view does not exist,2019-06-25,09,1
ORA-01775,looping chain of synonyms,2019-06-25,09,1
ORA-00942,table or view does not exist,2019-06-25,08,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,07,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,07,1
ORA-00942,table or view does not exist,2019-06-25,07,1
ORA-00942,table or view does not exist,2019-06-25,06,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,05,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,05,1
ORA-01775,looping chain of synonyms,2019-06-25,06,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,06,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,06,1
ORA-00942,table or view does not exist,2019-06-25,05,1
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-25,05,1
ORA-00942,table or view does not exist,2019-06-25,04,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,04,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,04,1
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-25,04,1
ORA-00942,table or view does not exist,2019-06-25,03,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,03,1
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-25,03,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,03,1
ORA-01775,looping chain of synonyms,2019-06-25,03,1
ORA-00942,table or view does not exist,2019-06-25,02,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,02,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,02,1
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-25,02,1
ORA-00942,table or view does not exist,2019-06-25,01,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,01,1
ORA-00942,table or view does not exist,2019-06-25,00,1
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-25,01,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-25,00,1
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,13,0
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,13,0
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,13,0
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,04,0
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,05,0
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,05,0
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,05,0
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,03,0
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,03,0
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,03,0
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,02,0
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,02,0
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,02,0
ORA-00942,table or view does not exist,2019-06-24,02,0
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,05,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-23,05,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,05,6
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,04,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-23,04,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,04,6
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,03,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,03,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-23,03,6
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,02,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,02,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-23,02,6
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,06,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,05,5
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,05,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03,5
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,03,5
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-22,03,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,02,5
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-22,02,5
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,02,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,04,4
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,04,4
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,04,4
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,05,4
