"_time","oracle_error_code","oracle_error_desc"
"2019-06-25T21:06:15.559-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T21:06:08.559-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T21:06:01.402-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-25T21:05:54.398-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-25T15:05:35.214-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:05:33.366-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:05:26.336-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:05:19.306-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:05:12.276-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:05:11.555-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:05:02.364-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T15:04:55.354-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T15:04:48.350-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T15:04:41.345-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T14:59:59.938-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:58.081-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:51.061-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:44.057-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:37.037-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:30.032-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T15:00:01.356-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:53.666-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:45.959-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:38.269-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:55.824-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:53.734-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:46.027-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:38.338-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:30.631-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:59:22.941-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T14:58:14.632-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T14:58:07.633-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T14:58:00.634-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
