_time,oracle_error_code,oracle_error_desc,date,time
2019-06-22T05:27:12.970-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,05:27:12
2019-06-22T05:27:05.632-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,05:27:05
2019-06-22T05:26:54.863-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,05:26:54
2019-06-22T05:26:47.525-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,05:26:47
2019-06-22T05:26:40.188-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,05:26:40
2019-06-22T05:26:32.850-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,05:26:32
2019-06-22T03:10:30.569-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:10:30
2019-06-22T03:10:23.564-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:10:23
2019-06-22T03:10:16.544-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:10:16
2019-06-22T03:10:09.539-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:10:09
2019-06-22T03:10:05.248-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:10:05
2019-06-22T03:10:05.248-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:10:05
2019-06-22T03:09:55.544-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:55
2019-06-22T03:09:48.539-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:48
2019-06-22T03:09:41.518-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:41
2019-06-22T03:09:34.513-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:34
2019-06-22T03:09:29.474-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:29
2019-06-22T03:09:27.539-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:27
2019-06-22T03:09:20.517-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:20
2019-06-22T03:09:13.511-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:13
2019-06-22T03:09:06.489-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:09:06
2019-06-22T03:08:59.483-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:59
2019-06-22T03:08:54.443-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:54
2019-06-22T03:08:52.508-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:52
2019-06-22T03:08:45.486-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:45
