,oracle_error_code,oracle_error_desc,date,hour,weekday
0,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,18,2
2,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,16,2
3,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,16,2
6,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,15,2
8,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-17,15,2
9,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,15,2
18,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,18,2
19,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-17,18,2
22,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-17,16,2
23,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,5,2
24,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,5,2
25,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-17,5,2
28,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-16,5,1
30,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-15,5,0
31,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-14,5,6
33,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,2,2
35,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-17,2,2
36,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,2,2
41,ORA-00942,table or view does not exist,2019-07-17,2,2
43,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,4,2
47,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,9,2
48,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,9,2
49,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-16,2,1
51,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-17,3,2
53,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-17,3,2
54,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-17,3,2
56,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-11,22,3
57,ORA-00001,unique constraint (DTV.PK_INV_INVENTORY_JOURNAL) violated,2019-07-17,18,2
61,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-16,2,1
62,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-15,2,0
63,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-15,2,0
65,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-15,2,0
67,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-14,2,6
69,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-14,2,6
71,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-13,2,5
73,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-13,2,5
77,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-12,2,4
79,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-12,2,4
81,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-11,2,3
83,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-11,2,3
84,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-10,2,2
85,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-10,2,2
86,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-07-10,2,2
87,ORA-01033,ORACLE initialization or shutdown in progress,2019-07-09,2,1
88,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-07-09,2,1
