oracle_error_code,level_1,timevec,desc,total
ORA-00001,0,"[3, 2, 118, 62, 10, 27, 18, 5, 12, 29, 44, 30, 42, 38, 36, 43, 27, 28, 34, 25, 40, 9, 0, 0, 1, 4, 87, 61, 11, 38, 15, 12, 11, 13, 40, 32, 31, 24, 24, 20, 33, 66, 35, 39, 28, 5, 0, 0, 3, 3, 112, 65, 17, 51, 22, 7, 16, 12, 18, 21, 35, 23, 25, 46, 40, 17, 41, 26, 16, 7, 1, 0, 4, 5, 103, 48, 18, 38, 24, 5, 0, 16, 45, 41, 21, 29, 53, 28, 32, 23, 42, 29, 20, 11, 1, 0, 5, 0, 121, 55, 5, 40, 22, 8, 12, 25, 33, 41, 38, 33, 41, 49, 41, 32, 30, 44, 29, 15, 0, 0, 1, 2, 107, 64, 7, 41, 18, 1, 2, 12, 30, 37, 61, 52, 39, 69, 57, 55, 70, 42, 16, 2, 0, 0, 1, 1, 102, 57, 6, 35, 23, 3, 3, 6, 17, 15, 39, 44, 29, 33, 48, 42, 11, 8, 0, 2, 0, 0]",unique constraint (DTV.PK_ELC_INV_ADJ_DATA) violated,4601
ORA-00018,0,"[0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 24, 14, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6, 2, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",maximum number of sessions exceeded,125
ORA-00600,0,"[1, 0, 0, 0, 3, 0, 0, 3, 1, 3, 11, 18, 22, 33, 30, 24, 18, 23, 21, 13, 13, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 9, 8, 13, 8, 11, 5, 11, 8, 11, 9, 9, 6, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 10, 4, 3, 5, 5, 7, 7, 7, 4, 1, 3, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 10, 8, 17, 34, 40, 24, 26, 25, 17, 24, 15, 5, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 6, 9, 26, 34, 31, 26, 18, 14, 13, 15, 16, 9, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 17, 18, 33, 28, 47, 38, 34, 43, 28, 20, 22, 8, 0, 0, 0, 1, 1, 0, 3, 0, 2, 1, 0, 2, 9, 18, 30, 28, 35, 33, 29, 26, 19, 6, 0, 0, 0, 0]","internal error code, arguments: [729], [1184], [space leak], [], [], [], [], [], [], [], [], []",1476
ORA-00604,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38, 49, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",error occurred at recursive SQL level 1,118
ORA-00904,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 2, 2, 4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 3, 1, 0, 4, 1, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 2, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0]",: invalid identifier,88
ORA-00936,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",missing expression,2
ORA-00942,0,"[120, 123, 860, 588, 203, 173, 134, 136, 133, 140, 146, 126, 108, 100, 96, 97, 90, 84, 84, 84, 54, 17, 0, 0, 94, 85, 942, 701, 231, 181, 160, 159, 161, 158, 145, 138, 134, 132, 132, 132, 132, 132, 132, 132, 77, 29, 0, 0, 118, 119, 942, 798, 275, 188, 164, 151, 146, 145, 145, 159, 125, 124, 132, 132, 132, 138, 117, 119, 85, 26, 1, 1, 140, 132, 901, 671, 213, 174, 129, 132, 150, 136, 155, 122, 125, 122, 144, 145, 133, 135, 139, 151, 98, 41, 1, 0, 186, 171, 987, 669, 236, 207, 145, 154, 145, 142, 137, 138, 141, 132, 132, 132, 136, 123, 129, 144, 94, 32, 0, 0, 145, 120, 949, 640, 177, 141, 129, 135, 148, 141, 151, 136, 124, 132, 132, 132, 132, 132, 132, 132, 92, 32, 0, 0, 163, 154, 930, 599, 193, 178, 155, 172, 170, 156, 141, 151, 141, 143, 135, 132, 132, 132, 104, 51, 5, 0, 1, 0]",table or view does not exist,29620
ORA-00980,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",synonym translation is no longer valid,4
ORA-01013,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14, 6, 6, 4, 4, 2, 1, 8, 0, 2, 2, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 2, 4, 7, 3, 3, 3, 4, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 7, 1, 0, 2, 2, 0, 0, 1, 6, 2, 5, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 9, 2, 2, 3, 5, 7, 7, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13, 6, 3, 0, 6, 0, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 6, 6, 4, 4, 3, 1, 4, 5, 1, 2, 3, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 4, 1, 5, 2, 0, 1, 0, 0, 0, 0, 0]",user requested cancel of current operation,306
ORA-01017,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",invalid username/password; logon denied,6
